"transaction_id","date","client_id","produit_id","vendeur_id","quantite","prix_unitaire","montant_total","methode_paiement","statut_livraison","delai_livraison_jours"
"TRX00000191",2023-01-17,"CLI00226","PROD0038","VEND017",3,136.12,408.36,"Virement","Livré",5
"TRX00000192",2023-01-17,"CLI00495","PROD0059","VEND011",1,1395.24,1395.24,"PayPal","Livré",4
"TRX00000193",2023-01-17,"CLI00082","PROD0075","VEND006",1,1741.86,1741.86,"CB","Livré",7
"TRX00000194",2023-01-17,"CLI00280","PROD0093","VEND018",2,1041.89,2083.78,"PayPal","Livré",3
"TRX00000195",2023-01-17,"CLI00027","PROD0044","VEND010",1,434.81,434.81,"CB","Livré",4
"TRX00000196",2023-01-17,"CLI00023","PROD0011","VEND018",4,1632.61,6530.44,"CB","Livré",6
"TRX00000197",2023-01-17,"CLI00188","PROD0029","VEND015",2,136.07,272.14,"CB","Livré",8
"TRX00000198",2023-01-17,"CLI00429","PROD0043","VEND005",2,951.37,1902.74,"CB","Livré",8
"TRX00000199",2023-01-17,"CLI00210","PROD0039","VEND014",1,429.09,429.09,"CB","Livré",6
"TRX00000200",2023-01-18,"CLI00186","PROD0068","VEND014",1,761.11,761.11,"PayPal","Livré",2
"TRX00000201",2023-01-18,"CLI00484","PROD0067","VEND009",1,344.62,344.62,"CB","Livré",10
"TRX00000202",2023-01-18,"CLI00188","PROD0074","VEND005",1,226.93,226.93,"PayPal","Livré",5
"TRX00000203",2023-01-18,"CLI00380","PROD0046","VEND019",1,155.28,155.28,"PayPal","Livré",4
"TRX00000204",2023-01-18,"CLI00187","PROD0046","VEND012",1,95.06,95.06,"CB","Livré",5
"TRX00000205",2023-01-18,"CLI00304","PROD0013","VEND019",1,223.91,223.91,"PayPal","Livré",5
"TRX00000206",2023-01-18,"CLI00459","PROD0036","VEND007",2,477.94,955.88,"CB","Livré",6
"TRX00000207",2023-01-18,"CLI00238","PROD0006","VEND017",1,200.32,200.32,"CB","Livré",3
"TRX00000208",2023-01-18,"CLI00166","PROD0025","VEND005",1,90.39,90.39,"PayPal","Livré",4
"TRX00000209",2023-01-18,"CLI00170","PROD0079","VEND018",4,740.72,2962.88,"CB","Livré",3
"TRX00000210",2023-01-18,"CLI00272","PROD0085","VEND007",2,148.86,297.72,"CB","Livré",3
"TRX00000211",2023-01-18,"CLI00232","PROD0060","VEND017",2,541.81,1083.62,"PayPal","Livré",3
"TRX00000212",2023-01-18,"CLI00258","PROD0069","VEND017",2,724.03,1448.06,"CB","Livré",2
"TRX00000213",2023-01-18,"CLI00489","PROD0083","VEND019",2,1736.39,3472.78,"PayPal","Livré",2
"TRX00000214",2023-01-18,"CLI00234","PROD0006","VEND011",1,106.43,106.43,"CB","En cours",NA
"TRX00000215",2023-01-18,"CLI00325","PROD0003","VEND005",4,1165.81,4663.24,"CB","Livré",3
"TRX00000216",2023-01-18,"CLI00145","PROD0091","VEND006",2,80.88,161.76,"PayPal","Livré",1
"TRX00000217",2023-01-18,"CLI00456","PROD0098","VEND015",1,169.83,169.83,"Virement","Livré",2
"TRX00000218",2023-01-18,"CLI00330","PROD0012","VEND015",1,1297.41,1297.41,"PayPal","Livré",1
"TRX00000219",2023-01-18,"CLI00322","PROD0035","VEND006",1,73.51,73.51,"PayPal","Livré",3
"TRX00000220",2023-01-18,"CLI00091","PROD0017","VEND014",1,82.49,82.49,"PayPal","Livré",4
"TRX00000221",2023-01-19,"CLI00247","PROD0020","VEND011",1,1075.2,1075.2,"PayPal","Livré",3
"TRX00000222",2023-01-19,"CLI00031","PROD0061","VEND006",2,206.04,412.08,"CB","Livré",6
"TRX00000223",2023-01-19,"CLI00444","PROD0013","VEND004",1,404.48,404.48,"CB","Livré",3
"TRX00000224",2023-01-19,"CLI00256","PROD0082","VEND015",2,467.19,934.38,"CB","Livré",5
"TRX00000225",2023-01-19,"CLI00393","PROD0001","VEND006",2,71.37,142.74,"CB","Livré",5
"TRX00000226",2023-01-19,"CLI00388","PROD0090","VEND017",4,121.16,484.64,"CB","Livré",4
"TRX00000227",2023-01-19,"CLI00323","PROD0032","VEND008",2,1409.34,2818.68,"PayPal","Livré",3
"TRX00000228",2023-01-19,"CLI00374","PROD0048","VEND013",1,578.85,578.85,"PayPal","Livré",4
"TRX00000229",2023-01-19,"CLI00386","PROD0009","VEND009",1,528.98,528.98,"Virement","Livré",6
"TRX00000230",2023-01-19,"CLI00209","PROD0067","VEND014",3,290.98,872.94,"Virement","Livré",5
"TRX00000231",2023-01-20,"CLI00496","PROD0093","VEND006",1,1218.8,1218.8,"Virement","Livré",6
"TRX00000232",2023-01-20,"CLI00358","PROD0045","VEND009",1,180.14,180.14,"CB","Livré",4
"TRX00000233",2023-01-20,"CLI00186","PROD0070","VEND005",1,986.23,986.23,"CB","Livré",4
"TRX00000234",2023-01-20,"CLI00249","PROD0029","VEND004",1,223.72,223.72,"Virement","Livré",5
"TRX00000235",2023-01-20,"CLI00418","PROD0042","VEND012",1,1020.22,1020.22,"CB","Livré",3
"TRX00000236",2023-01-20,"CLI00156","PROD0075","VEND010",3,1907.41,5722.23,"PayPal","Livré",4
"TRX00000237",2023-01-20,"CLI00226","PROD0079","VEND020",3,894.99,2684.97,"PayPal","Livré",4
"TRX00000238",2023-01-20,"CLI00262","PROD0075","VEND008",1,1389.44,1389.44,"CB","Livré",4
"TRX00000239",2023-01-20,"CLI00420","PROD0018","VEND002",3,238.5,715.5,"CB","Livré",3
"TRX00000240",2023-01-20,"CLI00094","PROD0067","VEND003",2,396.78,793.56,"Virement","Livré",4
"TRX00000241",2023-01-20,"CLI00359","PROD0023","VEND002",3,405.63,1216.89,"CB","Annulé",0
"TRX00000242",2023-01-20,"CLI00335","PROD0054","VEND013",1,60.42,60.42,"CB","Livré",4
"TRX00000243",2023-01-20,"CLI00302","PROD0072","VEND020",1,196.49,196.49,"CB","Livré",6
"TRX00000244",2023-01-21,"CLI00442","PROD0018","VEND006",2,242.3,484.6,"CB","Livré",3
"TRX00000245",2023-01-21,"CLI00353","PROD0069","VEND020",3,381.43,1144.29,"Virement","Livré",5
"TRX00000246",2023-01-21,"CLI00206","PROD0090","VEND006",4,135.7,542.8,"CB","Livré",4
"TRX00000247",2023-01-21,"CLI00273","PROD0092","VEND019",2,386.96,773.92,"CB","Livré",1
"TRX00000248",2023-01-21,"CLI00037","PROD0010","VEND005",1,352.44,352.44,"CB","Livré",5
"TRX00000249",2023-01-21,"CLI00275","PROD0034","VEND018",1,701.63,701.63,"PayPal","Livré",6
"TRX00000250",2023-01-21,"CLI00220","PROD0013","VEND019",2,307,614,"Virement","Livré",2
"TRX00000251",2023-01-21,"CLI00285","PROD0020","VEND019",2,901.02,1802.04,"CB","Livré",2
"TRX00000252",2023-01-21,"CLI00224","PROD0012","VEND003",1,1043.56,1043.56,"CB","Livré",5
"TRX00000253",2023-01-21,"CLI00324","PROD0071","VEND017",4,784.41,3137.64,"CB","Livré",5
"TRX00000254",2023-01-22,"CLI00301","PROD0086","VEND020",1,1355.81,1355.81,"CB","Livré",4
"TRX00000255",2023-01-22,"CLI00343","PROD0083","VEND002",1,993.52,993.52,"PayPal","Livré",3
